Product Name,Brand,Category / Collection,Gender,Available Sizes & Prices (INR),Fragrance Family / Notes
"Amber Vanilla Solid Perfume","Arabian Perfumer's","personal-care","unisex","8g: ₹99 | 15g: ₹199","Amber, Vanilla, Woody"
"Fresh Citrus Solid Perfume","Arabian Perfumer's","personal-care","unisex","8g: ₹99 | 15g: ₹199","Citrus, Fresh, Woody"
"Jasmine Sandalwood Solid Perfume","Arabian Perfumer's","personal-care","women","8g: ₹99 | 15g: ₹199","Jasmine, Sandalwood, Floral"
"Solid Perfume Body Creams","Arabian Perfumer's","personal-care","unisex","1 unit: ₹100","Floral, Musk, Fresh"
"Mogra Body Cream","Arabian Perfumer's","personal-care","women","1 unit: ₹100","Jasmine, Floral, Fresh"
"Handmade Herbal Soaps","Arabian Perfumer's","personal-care","unisex","1 bar: ₹55","Herbal, Fresh, Green"
"Crack Cream","Arabian Perfumer's","personal-care","unisex","","Herbal, Fresh"
"Wooden Bakhoor Burner","Arabian Perfumer's","home-fragrance","unisex","1 piece: ₹250","Oud, Woody, Amber"
"Jawadhu Powder","Arabian Perfumer's","home-fragrance","unisex","10g: ₹150","Oud, Spicy, Amber"
"Premium Dhoop Sticks","Arabian Perfumer's","home-fragrance","unisex","","Incense, Woody, Oud"
"Aroma Burners","Arabian Perfumer's","home-fragrance","unisex","","Oud, Amber, Spicy"
"Electrical Bakhoor Burner","Arabian Perfumer's","home-fragrance","unisex","","Oud, Amber"
"Non-Electric Bakhoor Burner","Arabian Perfumer's","home-fragrance","unisex","","Oud, Amber, Woody"
"Car Hanging Perfumes","Arabian Perfumer's","home-fragrance","unisex","","Fresh, Citrus, Musk"
"Reed Diffusers","Arabian Perfumer's","home-fragrance","unisex","","Fresh, Floral, Oud"
"Display Attar Bottles","Arabian Perfumer's","packaging","unisex","1 piece: ₹390","Packaging"
"Golden Attar Bottles","Arabian Perfumer's","packaging","unisex","","Packaging"
"Attar Bottles (6ml & 12ml)","Arabian Perfumer's","packaging","unisex","","Packaging"
"100ml Perfume Bottles","Arabian Perfumer's","packaging","unisex","1 piece: ₹130","Packaging"
"50ml Perfume Bottles","Arabian Perfumer's","packaging","unisex","1 piece: ₹100","Packaging"
"30ml Screw Neck Bottles","Arabian Perfumer's","packaging","unisex","1 piece: ₹90","Packaging"
"Attar Boxes (Wholesale)","Arabian Perfumer's","packaging","unisex","","Packaging"
"Attar Gift Box 12ml","Arabian Perfumer's","packaging","unisex","","Packaging"
"Attar Gift Pack (3ml / 6ml / 12ml)","Arabian Perfumer's","packaging","unisex","","Packaging"
"Wholesale Attar (Raw Material)","Arabian Perfumer's","wholesale","unisex","","Oud, Amber, Musk, Rose"
"French, Arabic & Indian Perfume Supply","Arabian Perfumer's","wholesale","unisex","","Oud, Floral, Fresh, Spicy"
